country,main_category,sub_category,hs_code,tax_rate_estimate,product_regulation,customs_documents,standards_note,tax_note,incentive_note,customs_note,source_note
Malezya,Kozmetik,Şampuan,3304,9.2,"Malezya pazarına Şampuan ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Şampuan için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Malezya için tahmini vergi oranı %9.2. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Malezya pazarı için teşvik değerlendirmesi prototip modelde 8/10 olarak alınmıştır.,"Malezya gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Tayland,Kozmetik,Şampuan,3304,9.6,"Tayland pazarına Şampuan ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Şampuan için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Tayland için tahmini vergi oranı %9.6. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Tayland pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"Tayland gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Vietnam,Kozmetik,Şampuan,3304,10.0,"Vietnam pazarına Şampuan ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Şampuan için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Vietnam için tahmini vergi oranı %10.0. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Vietnam pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"Vietnam gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Rusya,Kozmetik,Şampuan,3304,11.2,"Rusya pazarına Şampuan ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Şampuan için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Rusya için tahmini vergi oranı %11.2. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Rusya pazarı için teşvik değerlendirmesi prototip modelde 5/10 olarak alınmıştır.,"Rusya gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Almanya,Kozmetik,Parfüm,3304,8.2,"Almanya pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Almanya için tahmini vergi oranı %8.2. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Almanya pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"Almanya gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
ABD,Kozmetik,Parfüm,3304,10.5,"ABD pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","ABD için tahmini vergi oranı %10.5. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",ABD pazarı için teşvik değerlendirmesi prototip modelde 6/10 olarak alınmıştır.,"ABD gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Fransa,Kozmetik,Parfüm,3304,8.8,"Fransa pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Fransa için tahmini vergi oranı %8.8. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Fransa pazarı için teşvik değerlendirmesi prototip modelde 6/10 olarak alınmıştır.,"Fransa gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
İngiltere,Kozmetik,Parfüm,3304,9.0,"İngiltere pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","İngiltere için tahmini vergi oranı %9.0. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",İngiltere pazarı için teşvik değerlendirmesi prototip modelde 6/10 olarak alınmıştır.,"İngiltere gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Hollanda,Kozmetik,Parfüm,3304,8.0,"Hollanda pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Hollanda için tahmini vergi oranı %8.0. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Hollanda pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"Hollanda gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
İtalya,Kozmetik,Parfüm,3304,8.7,"İtalya pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","İtalya için tahmini vergi oranı %8.7. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",İtalya pazarı için teşvik değerlendirmesi prototip modelde 6/10 olarak alınmıştır.,"İtalya gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
İspanya,Kozmetik,Parfüm,3304,9.1,"İspanya pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","İspanya için tahmini vergi oranı %9.1. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",İspanya pazarı için teşvik değerlendirmesi prototip modelde 6/10 olarak alınmıştır.,"İspanya gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Polonya,Kozmetik,Parfüm,3304,8.4,"Polonya pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Polonya için tahmini vergi oranı %8.4. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Polonya pazarı için teşvik değerlendirmesi prototip modelde 8/10 olarak alınmıştır.,"Polonya gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
BAE,Kozmetik,Parfüm,3304,7.5,"BAE pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","BAE için tahmini vergi oranı %7.5. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",BAE pazarı için teşvik değerlendirmesi prototip modelde 10/10 olarak alınmıştır.,"BAE gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Suudi Arabistan,Kozmetik,Parfüm,3304,8.0,"Suudi Arabistan pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Suudi Arabistan için tahmini vergi oranı %8.0. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Suudi Arabistan pazarı için teşvik değerlendirmesi prototip modelde 9/10 olarak alınmıştır.,"Suudi Arabistan gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Kanada,Kozmetik,Parfüm,3304,9.8,"Kanada pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Kanada için tahmini vergi oranı %9.8. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Kanada pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"Kanada gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
İsviçre,Kozmetik,Parfüm,3304,8.3,"İsviçre pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","İsviçre için tahmini vergi oranı %8.3. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",İsviçre pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"İsviçre gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Japonya,Kozmetik,Parfüm,3304,10.2,"Japonya pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Japonya için tahmini vergi oranı %10.2. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Japonya pazarı için teşvik değerlendirmesi prototip modelde 6/10 olarak alınmıştır.,"Japonya gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Çin,Kozmetik,Parfüm,3304,11.0,"Çin pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Çin için tahmini vergi oranı %11.0. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Çin pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"Çin gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Güney Kore,Kozmetik,Parfüm,3304,9.9,"Güney Kore pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Güney Kore için tahmini vergi oranı %9.9. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Güney Kore pazarı için teşvik değerlendirmesi prototip modelde 8/10 olarak alınmıştır.,"Güney Kore gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Singapur,Kozmetik,Parfüm,3304,6.8,"Singapur pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Singapur için tahmini vergi oranı %6.8. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Singapur pazarı için teşvik değerlendirmesi prototip modelde 9/10 olarak alınmıştır.,"Singapur gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Avustralya,Kozmetik,Parfüm,3304,9.5,"Avustralya pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Avustralya için tahmini vergi oranı %9.5. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Avustralya pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"Avustralya gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Belçika,Kozmetik,Parfüm,3304,8.1,"Belçika pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Belçika için tahmini vergi oranı %8.1. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Belçika pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"Belçika gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Avusturya,Kozmetik,Parfüm,3304,8.3,"Avusturya pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Avusturya için tahmini vergi oranı %8.3. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Avusturya pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"Avusturya gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Çekya,Kozmetik,Parfüm,3304,8.4,"Çekya pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Çekya için tahmini vergi oranı %8.4. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Çekya pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"Çekya gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Romanya,Kozmetik,Parfüm,3304,7.6,"Romanya pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Romanya için tahmini vergi oranı %7.6. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Romanya pazarı için teşvik değerlendirmesi prototip modelde 8/10 olarak alınmıştır.,"Romanya gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Bulgaristan,Kozmetik,Parfüm,3304,7.3,"Bulgaristan pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Bulgaristan için tahmini vergi oranı %7.3. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Bulgaristan pazarı için teşvik değerlendirmesi prototip modelde 8/10 olarak alınmıştır.,"Bulgaristan gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Yunanistan,Kozmetik,Parfüm,3304,7.4,"Yunanistan pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Yunanistan için tahmini vergi oranı %7.4. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Yunanistan pazarı için teşvik değerlendirmesi prototip modelde 6/10 olarak alınmıştır.,"Yunanistan gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Macaristan,Kozmetik,Parfüm,3304,8.0,"Macaristan pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Macaristan için tahmini vergi oranı %8.0. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Macaristan pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"Macaristan gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Portekiz,Kozmetik,Parfüm,3304,9.0,"Portekiz pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Portekiz için tahmini vergi oranı %9.0. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Portekiz pazarı için teşvik değerlendirmesi prototip modelde 6/10 olarak alınmıştır.,"Portekiz gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
İsveç,Kozmetik,Parfüm,3304,8.5,"İsveç pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","İsveç için tahmini vergi oranı %8.5. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",İsveç pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"İsveç gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Norveç,Kozmetik,Parfüm,3304,8.7,"Norveç pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Norveç için tahmini vergi oranı %8.7. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Norveç pazarı için teşvik değerlendirmesi prototip modelde 6/10 olarak alınmıştır.,"Norveç gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
Danimarka,Kozmetik,Parfüm,3304,8.2,"Danimarka pazarına Parfüm ihracatında HS/GTİP 3304 kodu doğrulanmalı; ürün güvenliği, etiketleme, ambalaj ve teknik uygunluk şartları kontrol edilmelidir.",Ticari fatura; çeki listesi; taşıma belgesi; menşe şahadetnamesi; ihracat beyannamesi; gerekiyorsa CE/ISO/test raporu/sağlık belgesi.,"Kozmetik / Parfüm için hedef ülkedeki teknik standartlar, etiket dili ve uygunluk belgeleri incelenmelidir.","Danimarka için tahmini vergi oranı %8.2. Nihai oran GTİP, menşe ve ticaret anlaşmalarına göre değişebilir.",Danimarka pazarı için teşvik değerlendirmesi prototip modelde 7/10 olarak alınmıştır.,"Danimarka gümrük sürecinde ürün sınıflandırması, menşe, fatura uyumu ve ürün bazlı belgeler kontrol edilir.",Demo/proxy veri; resmi veriyle güncellenebilir.
