country,main_category,sub_category,hs_code,estimated_import_value_usd,tax_rate_estimate,source_note
Almanya,Elektronik,Güvenlik Kamerası,8525,665000000,6.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Suudi Arabistan,Tekstil,Havlu,6109,792310400,6.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Kanada,Tekstil,Havlu,6109,826336000,8.8,Demo/proxy veri; resmi veriyle güncellenebilir.
İsviçre,Tekstil,Havlu,6109,860361600,7.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Japonya,Tekstil,Havlu,6109,894387200,9.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Çin,Tekstil,Havlu,6109,923552000,9.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Güney Kore,Tekstil,Havlu,6109,520105600,8.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Singapur,Tekstil,Havlu,6109,554131200,5.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Avustralya,Tekstil,Havlu,6109,588156800,8.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Belçika,Tekstil,Havlu,6109,622182400,7.0,Demo/proxy veri; resmi veriyle güncellenebilir.
Avusturya,Tekstil,Havlu,6109,656208000,7.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Çekya,Tekstil,Havlu,6109,690233600,7.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Romanya,Tekstil,Havlu,6109,724259200,6.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Bulgaristan,Tekstil,Havlu,6109,758284800,6.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Yunanistan,Tekstil,Havlu,6109,792310400,6.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Macaristan,Tekstil,Havlu,6109,826336000,6.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Portekiz,Tekstil,Havlu,6109,860361600,7.9,Demo/proxy veri; resmi veriyle güncellenebilir.
İsveç,Tekstil,Havlu,6109,894387200,7.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Norveç,Tekstil,Havlu,6109,486080000,7.7,Demo/proxy veri; resmi veriyle güncellenebilir.
Danimarka,Tekstil,Havlu,6109,520105600,7.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Finlandiya,Tekstil,Havlu,6109,554131200,7.5,Demo/proxy veri; resmi veriyle güncellenebilir.
İrlanda,Tekstil,Havlu,6109,588156800,8.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Meksika,Tekstil,Havlu,6109,622182400,10.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Brezilya,Tekstil,Havlu,6109,656208000,10.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Şili,Tekstil,Havlu,6109,690233600,9.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Arjantin,Tekstil,Havlu,6109,724259200,11.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Güney Afrika,Tekstil,Havlu,6109,758284800,9.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Mısır,Tekstil,Havlu,6109,792310400,7.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Fas,Tekstil,Havlu,6109,826336000,7.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Cezayir,Tekstil,Havlu,6109,860361600,8.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Tunus,Tekstil,Havlu,6109,894387200,7.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Nijerya,Tekstil,Havlu,6109,486080000,10.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Katar,Tekstil,Havlu,6109,520105600,6.7,Demo/proxy veri; resmi veriyle güncellenebilir.
Kuveyt,Tekstil,Havlu,6109,554131200,6.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Bahreyn,Tekstil,Havlu,6109,588156800,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Umman,Tekstil,Havlu,6109,622182400,7.0,Demo/proxy veri; resmi veriyle güncellenebilir.
Hindistan,Tekstil,Havlu,6109,656208000,10.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Endonezya,Tekstil,Havlu,6109,690233600,10.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Malezya,Tekstil,Havlu,6109,724259200,8.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Tayland,Tekstil,Havlu,6109,758284800,8.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Vietnam,Tekstil,Havlu,6109,792310400,9.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Rusya,Tekstil,Havlu,6109,826336000,10.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Almanya,Tekstil,Çorap,6109,983136000,6.7,Demo/proxy veri; resmi veriyle güncellenebilir.
ABD,Tekstil,Çorap,6109,1051955520,8.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Fransa,Tekstil,Çorap,6109,589881600,7.2,Demo/proxy veri; resmi veriyle güncellenebilir.
İngiltere,Tekstil,Çorap,6109,626102400,7.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Hollanda,Tekstil,Çorap,6109,662323200,6.4,Demo/proxy veri; resmi veriyle güncellenebilir.
İtalya,Tekstil,Çorap,6109,698544000,7.2,Demo/proxy veri; resmi veriyle güncellenebilir.
İspanya,Tekstil,Çorap,6109,734764800,7.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Polonya,Tekstil,Çorap,6109,770985600,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
BAE,Tekstil,Çorap,6109,807206400,5.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Suudi Arabistan,Tekstil,Çorap,6109,843427200,6.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Kanada,Tekstil,Çorap,6109,879648000,8.2,Demo/proxy veri; resmi veriyle güncellenebilir.
İsviçre,Tekstil,Çorap,6109,915868800,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Japonya,Tekstil,Çorap,6109,952089600,8.7,Demo/proxy veri; resmi veriyle güncellenebilir.
Çin,Tekstil,Çorap,6109,983136000,9.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Güney Kore,Tekstil,Çorap,6109,553660800,8.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Singapur,Tekstil,Çorap,6109,589881600,5.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Avustralya,Tekstil,Çorap,6109,626102400,7.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Belçika,Tekstil,Çorap,6109,662323200,6.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Avusturya,Tekstil,Çorap,6109,698544000,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Çekya,Tekstil,Çorap,6109,734764800,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Romanya,Tekstil,Çorap,6109,770985600,6.0,Demo/proxy veri; resmi veriyle güncellenebilir.
Bulgaristan,Tekstil,Çorap,6109,807206400,5.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Yunanistan,Tekstil,Çorap,6109,843427200,5.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Macaristan,Tekstil,Çorap,6109,879648000,6.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Portekiz,Tekstil,Çorap,6109,915868800,7.4,Demo/proxy veri; resmi veriyle güncellenebilir.
İsveç,Tekstil,Çorap,6109,952089600,6.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Norveç,Tekstil,Çorap,6109,517440000,7.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Danimarka,Tekstil,Çorap,6109,553660800,6.7,Demo/proxy veri; resmi veriyle güncellenebilir.
Finlandiya,Tekstil,Çorap,6109,589881600,7.0,Demo/proxy veri; resmi veriyle güncellenebilir.
İrlanda,Tekstil,Çorap,6109,626102400,7.7,Demo/proxy veri; resmi veriyle güncellenebilir.
Meksika,Tekstil,Çorap,6109,662323200,9.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Brezilya,Tekstil,Çorap,6109,698544000,10.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Şili,Tekstil,Çorap,6109,734764800,9.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Arjantin,Tekstil,Çorap,6109,770985600,10.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Güney Afrika,Tekstil,Çorap,6109,807206400,8.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Mısır,Tekstil,Çorap,6109,843427200,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Fas,Tekstil,Çorap,6109,879648000,7.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Cezayir,Tekstil,Çorap,6109,915868800,8.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Tunus,Tekstil,Çorap,6109,952089600,7.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Nijerya,Tekstil,Çorap,6109,517440000,9.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Katar,Tekstil,Çorap,6109,553660800,6.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Kuveyt,Tekstil,Çorap,6109,589881600,6.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Bahreyn,Tekstil,Çorap,6109,626102400,6.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Umman,Tekstil,Çorap,6109,662323200,6.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Hindistan,Tekstil,Çorap,6109,698544000,10.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Endonezya,Tekstil,Çorap,6109,734764800,9.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Malezya,Tekstil,Çorap,6109,770985600,7.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Tayland,Tekstil,Çorap,6109,807206400,8.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Vietnam,Tekstil,Çorap,6109,843427200,8.7,Demo/proxy veri; resmi veriyle güncellenebilir.
Rusya,Tekstil,Çorap,6109,879648000,9.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Almanya,Mobilya,Ofis Masası,9403,824600000,7.0,Demo/proxy veri; resmi veriyle güncellenebilir.
ABD,Mobilya,Ofis Masası,9403,882322000,9.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Fransa,Mobilya,Ofis Masası,9403,494760000,7.6,Demo/proxy veri; resmi veriyle güncellenebilir.
İngiltere,Mobilya,Ofis Masası,9403,525140000,7.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Hollanda,Mobilya,Ofis Masası,9403,555520000,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
İtalya,Mobilya,Ofis Masası,9403,585900000,7.5,Demo/proxy veri; resmi veriyle güncellenebilir.
İspanya,Mobilya,Ofis Masası,9403,616280000,7.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Polonya,Mobilya,Ofis Masası,9403,646660000,7.2,Demo/proxy veri; resmi veriyle güncellenebilir.
BAE,Mobilya,Ofis Masası,9403,677040000,6.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Suudi Arabistan,Mobilya,Ofis Masası,9403,707420000,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Kanada,Mobilya,Ofis Masası,9403,737800000,8.6,Demo/proxy veri; resmi veriyle güncellenebilir.
İsviçre,Mobilya,Ofis Masası,9403,768180000,7.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Japonya,Mobilya,Ofis Masası,9403,798560000,9.0,Demo/proxy veri; resmi veriyle güncellenebilir.
Çin,Mobilya,Ofis Masası,9403,824600000,9.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Güney Kore,Mobilya,Ofis Masası,9403,464380000,8.7,Demo/proxy veri; resmi veriyle güncellenebilir.
Singapur,Mobilya,Ofis Masası,9403,494760000,5.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Avustralya,Mobilya,Ofis Masası,9403,525140000,8.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Belçika,Mobilya,Ofis Masası,9403,555520000,6.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Avusturya,Mobilya,Ofis Masası,9403,585900000,7.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Çekya,Mobilya,Ofis Masası,9403,616280000,7.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Romanya,Mobilya,Ofis Masası,9403,646660000,6.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Bulgaristan,Mobilya,Ofis Masası,9403,677040000,6.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Yunanistan,Mobilya,Ofis Masası,9403,707420000,6.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Macaristan,Mobilya,Ofis Masası,9403,737800000,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Portekiz,Mobilya,Ofis Masası,9403,768180000,7.8,Demo/proxy veri; resmi veriyle güncellenebilir.
İsveç,Mobilya,Ofis Masası,9403,798560000,7.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Norveç,Mobilya,Ofis Masası,9403,434000000,7.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Danimarka,Mobilya,Ofis Masası,9403,464380000,7.0,Demo/proxy veri; resmi veriyle güncellenebilir.
Finlandiya,Mobilya,Ofis Masası,9403,494760000,7.4,Demo/proxy veri; resmi veriyle güncellenebilir.
İrlanda,Mobilya,Ofis Masası,9403,525140000,8.0,Demo/proxy veri; resmi veriyle güncellenebilir.
Meksika,Mobilya,Ofis Masası,9403,555520000,10.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Brezilya,Mobilya,Ofis Masası,9403,585900000,10.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Şili,Mobilya,Ofis Masası,9403,616280000,9.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Arjantin,Mobilya,Ofis Masası,9403,646660000,11.0,Demo/proxy veri; resmi veriyle güncellenebilir.
Güney Afrika,Mobilya,Ofis Masası,9403,677040000,9.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Mısır,Mobilya,Ofis Masası,9403,707420000,7.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Fas,Mobilya,Ofis Masası,9403,737800000,7.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Cezayir,Mobilya,Ofis Masası,9403,768180000,8.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Tunus,Mobilya,Ofis Masası,9403,798560000,7.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Nijerya,Mobilya,Ofis Masası,9403,434000000,10.0,Demo/proxy veri; resmi veriyle güncellenebilir.
Katar,Mobilya,Ofis Masası,9403,464380000,6.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Kuveyt,Mobilya,Ofis Masası,9403,494760000,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Bahreyn,Mobilya,Ofis Masası,9403,525140000,6.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Umman,Mobilya,Ofis Masası,9403,555520000,6.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Hindistan,Mobilya,Ofis Masası,9403,585900000,10.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Endonezya,Mobilya,Ofis Masası,9403,616280000,10.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Malezya,Mobilya,Ofis Masası,9403,646660000,8.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Tayland,Mobilya,Ofis Masası,9403,677040000,8.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Vietnam,Mobilya,Ofis Masası,9403,707420000,9.0,Demo/proxy veri; resmi veriyle güncellenebilir.
Rusya,Mobilya,Ofis Masası,9403,737800000,10.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Almanya,Mobilya,Sandalye,9403,890568000,7.3,Demo/proxy veri; resmi veriyle güncellenebilir.
ABD,Mobilya,Sandalye,9403,952907760,9.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Fransa,Mobilya,Sandalye,9403,534340800,7.9,Demo/proxy veri; resmi veriyle güncellenebilir.
İngiltere,Mobilya,Sandalye,9403,567151200,8.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Hollanda,Mobilya,Sandalye,9403,599961600,7.0,Demo/proxy veri; resmi veriyle güncellenebilir.
İtalya,Mobilya,Sandalye,9403,632772000,7.8,Demo/proxy veri; resmi veriyle güncellenebilir.
İspanya,Mobilya,Sandalye,9403,665582400,8.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Polonya,Mobilya,Sandalye,9403,698392800,7.5,Demo/proxy veri; resmi veriyle güncellenebilir.
BAE,Mobilya,Sandalye,9403,731203200,6.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Suudi Arabistan,Mobilya,Sandalye,9403,764013600,7.0,Demo/proxy veri; resmi veriyle güncellenebilir.
Kanada,Mobilya,Sandalye,9403,796824000,8.8,Demo/proxy veri; resmi veriyle güncellenebilir.
İsviçre,Mobilya,Sandalye,9403,829634400,7.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Japonya,Mobilya,Sandalye,9403,862444800,9.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Çin,Mobilya,Sandalye,9403,890568000,10.0,Demo/proxy veri; resmi veriyle güncellenebilir.
Güney Kore,Mobilya,Sandalye,9403,501530400,8.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Singapur,Mobilya,Sandalye,9403,534340800,5.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Avustralya,Mobilya,Sandalye,9403,567151200,8.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Belçika,Mobilya,Sandalye,9403,599961600,7.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Avusturya,Mobilya,Sandalye,9403,632772000,7.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Çekya,Mobilya,Sandalye,9403,665582400,7.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Romanya,Mobilya,Sandalye,9403,698392800,6.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Bulgaristan,Mobilya,Sandalye,9403,731203200,6.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Yunanistan,Mobilya,Sandalye,9403,764013600,6.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Macaristan,Mobilya,Sandalye,9403,796824000,7.0,Demo/proxy veri; resmi veriyle güncellenebilir.
Portekiz,Mobilya,Sandalye,9403,829634400,8.1,Demo/proxy veri; resmi veriyle güncellenebilir.
İsveç,Mobilya,Sandalye,9403,862444800,7.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Norveç,Mobilya,Sandalye,9403,468720000,7.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Danimarka,Mobilya,Sandalye,9403,501530400,7.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Finlandiya,Mobilya,Sandalye,9403,534340800,7.6,Demo/proxy veri; resmi veriyle güncellenebilir.
İrlanda,Mobilya,Sandalye,9403,567151200,8.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Meksika,Mobilya,Sandalye,9403,599961600,10.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Brezilya,Mobilya,Sandalye,9403,632772000,11.0,Demo/proxy veri; resmi veriyle güncellenebilir.
Şili,Mobilya,Sandalye,9403,665582400,9.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Arjantin,Mobilya,Sandalye,9403,698392800,11.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Güney Afrika,Mobilya,Sandalye,9403,731203200,9.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Mısır,Mobilya,Sandalye,9403,764013600,7.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Fas,Mobilya,Sandalye,9403,796824000,8.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Cezayir,Mobilya,Sandalye,9403,829634400,9.0,Demo/proxy veri; resmi veriyle güncellenebilir.
Tunus,Mobilya,Sandalye,9403,862444800,7.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Nijerya,Mobilya,Sandalye,9403,468720000,10.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Katar,Mobilya,Sandalye,9403,501530400,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Kuveyt,Mobilya,Sandalye,9403,534340800,7.0,Demo/proxy veri; resmi veriyle güncellenebilir.
Bahreyn,Mobilya,Sandalye,9403,567151200,6.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Umman,Mobilya,Sandalye,9403,599961600,7.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Hindistan,Mobilya,Sandalye,9403,632772000,10.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Endonezya,Mobilya,Sandalye,9403,665582400,10.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Malezya,Mobilya,Sandalye,9403,698392800,8.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Tayland,Mobilya,Sandalye,9403,731203200,8.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Vietnam,Mobilya,Sandalye,9403,764013600,9.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Rusya,Mobilya,Sandalye,9403,796824000,10.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Almanya,Mobilya,Koltuk,9403,956535999,7.5,Demo/proxy veri; resmi veriyle güncellenebilir.
ABD,Mobilya,Koltuk,9403,1023493520,9.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Fransa,Mobilya,Koltuk,9403,573921600,8.1,Demo/proxy veri; resmi veriyle güncellenebilir.
İngiltere,Mobilya,Koltuk,9403,609162399,8.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Hollanda,Mobilya,Koltuk,9403,644403199,7.3,Demo/proxy veri; resmi veriyle güncellenebilir.
İtalya,Mobilya,Koltuk,9403,679644000,8.0,Demo/proxy veri; resmi veriyle güncellenebilir.
İspanya,Mobilya,Koltuk,9403,714884799,8.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Polonya,Mobilya,Koltuk,9403,750125599,7.7,Demo/proxy veri; resmi veriyle güncellenebilir.
BAE,Mobilya,Koltuk,9403,785366399,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Suudi Arabistan,Mobilya,Koltuk,9403,820607200,7.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Kanada,Mobilya,Koltuk,9403,855848000,9.1,Demo/proxy veri; resmi veriyle güncellenebilir.
İsviçre,Mobilya,Koltuk,9403,891088799,7.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Japonya,Mobilya,Koltuk,9403,926329599,9.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Çin,Mobilya,Koltuk,9403,956535999,10.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Güney Kore,Mobilya,Koltuk,9403,538680800,9.2,Demo/proxy veri; resmi veriyle güncellenebilir.
Singapur,Mobilya,Koltuk,9403,573921600,6.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Avustralya,Mobilya,Koltuk,9403,609162399,8.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Belçika,Mobilya,Koltuk,9403,644403199,7.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Avusturya,Mobilya,Koltuk,9403,679644000,7.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Çekya,Mobilya,Koltuk,9403,714884799,7.7,Demo/proxy veri; resmi veriyle güncellenebilir.
Romanya,Mobilya,Koltuk,9403,750125599,6.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Bulgaristan,Mobilya,Koltuk,9403,785366399,6.6,Demo/proxy veri; resmi veriyle güncellenebilir.
Yunanistan,Mobilya,Koltuk,9403,820607200,6.7,Demo/proxy veri; resmi veriyle güncellenebilir.
Macaristan,Mobilya,Koltuk,9403,855848000,7.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Portekiz,Mobilya,Koltuk,9403,891088799,8.3,Demo/proxy veri; resmi veriyle güncellenebilir.
İsveç,Mobilya,Koltuk,9403,926329599,7.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Norveç,Mobilya,Koltuk,9403,503439999,8.0,Demo/proxy veri; resmi veriyle güncellenebilir.
Danimarka,Mobilya,Koltuk,9403,538680800,7.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Finlandiya,Mobilya,Koltuk,9403,573921600,7.9,Demo/proxy veri; resmi veriyle güncellenebilir.
İrlanda,Mobilya,Koltuk,9403,609162399,8.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Meksika,Mobilya,Koltuk,9403,644403199,10.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Brezilya,Mobilya,Koltuk,9403,679644000,11.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Şili,Mobilya,Koltuk,9403,714884799,10.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Arjantin,Mobilya,Koltuk,9403,750125599,11.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Güney Afrika,Mobilya,Koltuk,9403,785366399,9.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Mısır,Mobilya,Koltuk,9403,820607200,7.7,Demo/proxy veri; resmi veriyle güncellenebilir.
Fas,Mobilya,Koltuk,9403,855848000,8.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Cezayir,Mobilya,Koltuk,9403,891088799,9.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Tunus,Mobilya,Koltuk,9403,926329599,8.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Nijerya,Mobilya,Koltuk,9403,503439999,10.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Katar,Mobilya,Koltuk,9403,538680800,7.0,Demo/proxy veri; resmi veriyle güncellenebilir.
Kuveyt,Mobilya,Koltuk,9403,573921600,7.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Bahreyn,Mobilya,Koltuk,9403,609162399,7.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Umman,Mobilya,Koltuk,9403,644403199,7.4,Demo/proxy veri; resmi veriyle güncellenebilir.
Hindistan,Mobilya,Koltuk,9403,679644000,11.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Endonezya,Mobilya,Koltuk,9403,714884799,10.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Malezya,Mobilya,Koltuk,9403,750125599,8.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Tayland,Mobilya,Koltuk,9403,785366399,9.1,Demo/proxy veri; resmi veriyle güncellenebilir.
Vietnam,Mobilya,Koltuk,9403,820607200,9.5,Demo/proxy veri; resmi veriyle güncellenebilir.
Rusya,Mobilya,Koltuk,9403,855848000,10.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Almanya,Mobilya,Yatak Odası Takımı,9403,1022504000,7.0,Demo/proxy veri; resmi veriyle güncellenebilir.
ABD,Mobilya,Yatak Odası Takımı,9403,1094079280,9.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Fransa,Mobilya,Yatak Odası Takımı,9403,613502400,7.6,Demo/proxy veri; resmi veriyle güncellenebilir.
İngiltere,Mobilya,Yatak Odası Takımı,9403,651173600,7.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Hollanda,Mobilya,Yatak Odası Takımı,9403,688844800,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
İtalya,Mobilya,Yatak Odası Takımı,9403,726516000,7.5,Demo/proxy veri; resmi veriyle güncellenebilir.
İspanya,Mobilya,Yatak Odası Takımı,9403,764187200,7.9,Demo/proxy veri; resmi veriyle güncellenebilir.
Polonya,Mobilya,Yatak Odası Takımı,9403,801858400,7.2,Demo/proxy veri; resmi veriyle güncellenebilir.
BAE,Mobilya,Yatak Odası Takımı,9403,839529600,6.3,Demo/proxy veri; resmi veriyle güncellenebilir.
Suudi Arabistan,Mobilya,Yatak Odası Takımı,9403,877200800,6.8,Demo/proxy veri; resmi veriyle güncellenebilir.
Kanada,Mobilya,Yatak Odası Takımı,9403,914872000,8.6,Demo/proxy veri; resmi veriyle güncellenebilir.
